Paper_ID,Title,Authors,Year,Full_Paper_Link,Main_Objective,Datasets_Used,Backbone_Architecture,Attention_Mechanisms,Uncertainty_Quantification,Loss_Function_Optimizer,Key_Performance_Metrics,Reported_Limitations,Comparison_to_EFSANetV2,Key_Quotes
Paper_1,"An investigation of attention mechanisms in histopathology whole-slide-image analysis for regression objectives","Weitz P et al.",2021,"https://openaccess.thecvf.com/content/ICCV2021W/CDPATH/papers/Weitz_An_Investigation_of_Attention_Mechanisms_in_Histopathology_Whole-Slide-Image_Analysis_for_ICCVW_2021_paper.pdf","To investigate attention mechanisms for regression tasks (predicting gene expression) from Whole Slide Images (WSIs) rather than classification.","TCGA BRCA (721 patients), Clinseq (270 patients), ABiM. Focused on gene expression regression, unlike the classification focus of BreakHis/EFSANet.","ResNet18 pretrained on ImageNet used as the feature extractor for tiles.","Attention-based Multiple Instance Learning (MIL) to aggregate tile features into slide-level representations, allowing varying contributions of tiles.","Not explicitly modeled via EDL, but analyzes attention weights as a proxy for relevance/confidence in contributing to the label.","Mean Absolute Error (MAE) for regression; Adam optimizer.","Spearman correlation (0.35-0.38) between predicted and actual gene expression; Attention models showed slightly higher sensitivity to domain shift.","Attention mechanisms showed poorer generalizability (domain shift) compared to simple mean pooling in regression settings.","Validates the use of attention to weight informative tiles, supporting EFSANet's strategy of using attention before pooling. Warns about domain shift risks which EFSANet's EDL helps mitigate.","Attention mechanisms... allow models to better capture the relationship between set and instance labels [when] relatively few images contribute."
Paper_2,"Histopathological image based breast cancer diagnosis using deep learning and bio inspired optimization","Thatha V N et al.",2025,"https://doi.org/10.1038/s41598-025-04136-8","To improve breast cancer multiclass classification using a hybrid model optimized by Hippopotamus Optimization Algorithm (HOA).","BreakHis (7,909 images) and BACH (400 images); directly comparable to EFSANet's target data domain.","DenseNet-41 (Feature Extractor) combined with AlexNet-GRU. Note: They refer to DenseNet-41, likely a custom variation or typo for DenseNet-121/161.","Convolutional filters for preprocessing (blur, contour, edge enhance); GRU used to capture sequential/spatial dependencies.","No explicit uncertainty quantification (Standard Softmax classification).","HOA (Hippopotamus Optimization Algorithm) used for hyperparameter tuning; Standard Cross-Entropy implied.","99.60% Accuracy on BreakHis/BACH, outperforming ResNet50 and EfficientNet variants.","High computational complexity due to hybrid architecture and optimization overhead; potential overfitting on small datasets.","Strongly validates the choice of DenseNet as a backbone for breast histopathology. EFSANet improves on this by replacing the complex GRU/HOA with a lighter Attention+EDL head.","DenseNet allows for feature reuse through dense connections... particularly useful in histopathological image analysis where capturing detailed patterns is crucial."
Paper_3,"Learning and predicting the unknown class using evidential deep learning","Nagahama A",2023,"https://doi.org/10.1038/s41598-023-40649-w","To extend Evidential Deep Learning (EDL) to handle unknown classes (modified-EDL) without setting arbitrary uncertainty thresholds.","MNIST, Fashion-MNIST, EMNIST (Non-medical). However, the methodology is the exact foundation for EFSANet's loss function.","Simple CNNs (LeNet-style) for proof of concept.","None specific; focus is on the output layer and loss function.","Core focus is EDL. Uses Dirichlet distributions to calculate belief masses and uncertainty (u = K/S). Introduces m-EDL to explicitly model unknown classes.","EDL Loss (Sum of squares or Log-likelihood + KL Divergence regularization). Matches EFSANet's edl_loss_function.","m-EDL maintained high accuracy (approx 98%) on known classes while successfully identifying out-of-distribution samples.","Requires defining K+1 classes for unknown handling; tested on simple datasets, performance on high-dimensional medical images (like histopathology) remains to be proven.","Provides the mathematical justification for EFSANet's EDL loss and uncertainty score calculation (u = K/S). Supports the move away from Softmax for trustworthy AI.","EDL explicitly expresses the uncertainty of the prediction category by combining subjective logic with a neural network."
Paper_4,"Multiclass classification of breast cancer histopathology images using multilevel features of deep convolutional neural network","Hameed Z et al.",2022,"https://doi.org/10.1038/s41598-022-19278-2","To classify breast cancer histopathology into 4 classes using an Xception-based model and evaluating stain normalization techniques.","Colsanitas (Private, 2,250 images); similar classes to BACH (Normal, Benign, In Situ, Invasive). 80/20 train/test split.","Xception (Extreme Inception) pretrained on ImageNet; features extracted from 6 intermediate layers.","Multilevel feature extraction (concatenating features from different depths) + Global Average Pooling (GAP). No explicit attention module.","None. Relies on standard Softmax probabilities.","Categorical Cross-Entropy, Adam optimizer (lr=1e-5).","98.00% Accuracy, 0.969 Kappa on original images. Stain normalization (Macenko) achieved 97.78%.","Computational cost of deep ensembles; stain normalization did not significantly improve results over original data.","Competitor baseline. EFSANet's DenseNet+Attention aims to beat Xception's 98% by capturing frequency features that Xception misses. Supports using unnormalized images if model is robust.","...stain normalization techniques offered competitive performance, [but] could not surpass the results of the original dataset."
Paper_5,"Uncertainty-informed deep learning models enable high-confidence predictions for digital histopathology","Dolezal J M et al.",2022,"https://doi.org/10.1038/s41467-022-34025-x","To implement uncertainty quantification (UQ) to establish thresholds for high-confidence predictions in lung cancer histopathology.","TCGA (Lung), CPTAC, Mayo Clinic. Application is Lung, not Breast, but the UQ methodology is directly transferable.","Xception backbone.","None specific to architecture; focus is on post-hoc uncertainty estimation.","Monte Carlo (MC) Dropout. Dropout enabled during inference to generate a distribution of predictions; variance = uncertainty.","Standard training; UQ is applied via inference-time dropout.","High-confidence cohorts (filtered by uncertainty) achieved AUROC 0.98-1.0, significantly outperforming non-UQ models (0.96).","Requires multiple forward passes (computational cost); abstaining from predictions (leaving slides diagnosis-free) might be clinically challenging.","Contrasts with EFSANet's EDL. MC Dropout is slower (multiple passes) vs EDL (single pass). However, validates the hypothesis that UQ-filtered predictions are more accurate.","Uncertainty estimates are consistent with biological expectations... and robust against domain shift."
Paper_6,"Addressing Deep Learning Model Calibration Using Evidential Neural Networks and Uncertainty-Aware Training","Dawood T et al.",2023,"DOI: 10.1109/ISBI53787.2023.10230515","To investigate improvements in model calibration using Evidential Neural Networks (ENNs) and uncertainty-aware training (UvAC) on medical imaging tasks.","MNIST (Digit classification) and PC-CMR (Cardiac MRI artefact detection); distinct from breast pathology but relevant for method.","LeNet5 (low capacity) and ResNet18 (high capacity).","None explicitly mentioned; focus is on the loss function and evidential output layer.","Evidential Neural Networks (ENN) utilizing Dirichlet distributions to model belief masses and uncertainty (vacuity).","UvAC loss (Accuracy vs Uncertainty) and ENN loss (MSE + KL divergence); Adam optimizer.","Accuracy and Adaptive Expected Calibration Error (AECE). ResNet18+ENN+UvAC improved calibration significantly on noisy data.","Calibration suffers when tasks require higher model capacity; UvAC alone failed to improve calibration on complex PC-CMR data.","Foundational paper for the EDL implementation in EFSANetV2. It validates the use of evidential loss to handle dataset noise/uncertainty.","The only approach that improved calibration for both... was the combination of the ENN and UvAC uncertainty-aware training. (Supports EFSANet's use of EDL)."
Paper_7,"Evaluating Deep Learning Models for Breast Cancer Classification: A Comparative Study","Eskandari S et al.",2025,"arXiv:2408.16859v2","To compare CNNs (ResNet, DenseNet, etc.) against Vision Transformers (ViT) for Invasive Ductal Carcinoma (IDC) classification.","Kaggle Breast Histopathology Images (277,524 patches); Identical to EFSANetV2 dataset. 50x50 resolution.","ResNet-50, DenseNet-121, ResNeXt-50, EfficientNet, MobileNet, and ViT.","Self-attention inherent in the Vision Transformer (ViT) architecture.","Standard Softmax probability; no explicit uncertainty/evidence modeling.","Categorical Cross-Entropy, Adam optimizer (lr=0.0001).","ViT: 94% Accuracy, 0.95 F1 (Non-IDC). DenseNet-121: 92% Accuracy. EFSANetV2 target >94%.","CNNs (like DenseNet) showed lower precision/recall compared to attention-based ViT; computational intensity of Transformers.","Establishes DenseNet121 baseline (92%). EFSANetV2 adds attention to DenseNet to bridge the gap to ViT (94%) without full Transformer cost.","The ViT model... achieved the highest validation accuracy of 94%, outperforming conventional CNNs. (Justifies adding attention to CNNs)."
Paper_8,"Breast Cancer Histopathology Classification using CBAM-EfficientNetV2 with Transfer Learning","Sengodan N.",2025,"arXiv:2410.22392v6","To enhance EfficientNetV2 with Convolutional Block Attention Modules (CBAM) for histopathology classification.","BreakHis (9,109 images, 40X-400X magnification). Smaller than Kaggle dataset used in EFSANetV2.","EfficientNetV2-XL pretrained on PCam/ICIAR (domain adaptation).","CBAM (Convolutional Block Attention Module) combining Channel and Spatial attention.","Not addressed; standard deterministic classification.","Categorical Cross-Entropy; Adam optimizer with Cosine Annealing and Warm Restarts.","99.01% Accuracy on BreakHis 400X. High performance due to attention + transfer learning.","Limited dataset size (BreakHis); heavy reliance on data augmentation to prevent overfitting.","Validates the Backbone + Hybrid Attention strategy. EFSANetV2 uses Edge-Frequency attention instead of CBAM to capture texture better.","Integrating Convolutional Block Attention Modules... enhance EfficientNetV2's ability to prioritize critical tissue regions. (Supports hybrid attention)."
Paper_9,"Ensemble Deep Learning-Based Image Classification for Breast Cancer Subtype and Invasiveness Diagnosis","Balasubramanian A et al.",2024,"DOI: 10.3390/cancers16122222","To classify breast cancer invasiveness and subtypes using an ensemble of CNNs on WSI patches.","BACH (400 WSIs) and BreakHis. Patched high-res images.","Ensemble of VGG16, ResNet34, and ResNet50.","None explicit; relies on the diversity of the ensemble members.","Implicitly reduced variance via ensemble averaging, but no explicit evidential metric.","CrossEntropyLoss; SGD optimizer.","98.43% Average Validation Accuracy on BreakHis (Ensemble) vs 97.3% (ResNet50 alone).","High computational cost of training/inferencing multiple models (Ensemble) vs single model.","EFSANetV2 aims to achieve ensemble-level accuracy (>98%) using a single Agentic model with EDL, reducing compute costs.","Ensemble model... achieved robust predictions... mitigating their weaknesses. (EFSANetV2 uses EDL to achieve robustness in a single model)."
Paper_10,"Deep learning approaches for breast cancer detection in histopathology images: A review","Priya C V et al.",2024,"DOI: 10.3233/CBM-230251","Comprehensive review of state-of-the-art DL techniques for breast cancer histopathology.","Reviews BreakHis, BACH, Kaggle IDC, Camelyon16, TUPAC16.","Reviews CNNs (AlexNet, VGG, ResNet), RNNs, Autoencoders, and GANs.","Highlights attention mechanisms as a key trend for focusing on critical regions (nuclei/mitosis).","Discusses interpretability challenges but notes a lack of uncertainty quantification in many existing studies.","Varies by reviewed paper.","Notes accuracies generally ranging from 85% to 99% depending on dataset and magnification.","Annotated data scarcity, lack of model interpretability, and variability in staining.","Provides the problem statement: need for interpretable, robust models. EFSANetV2 addresses the interpretability gap via Uncertainty scores.","Deep learning models can be difficult to interpret... limiting its applicability in medical images. (Justifies EFSANet's uncertainty output)."
